id,category
S8307,3
S2866,0
S7839,5
S8895,1
S1431,5
S8149,1
S1279,1
S5129,0
S5935,3
S747,0
S6715,5
S7241,3
S125,5
S3947,3
S4875,4
S6310,4
S7950,1
S4194,3
S8677,1
S9294,1
S3925,1
S7786,1
S1242,5
S1449,5
S5024,4
S7988,4
S4641,0
S4048,4
S7559,3
S6882,1
S9311,0
S5100,3
S3344,3
S7809,0
S2832,4
S7927,1
S8639,1
S2636,0
S7611,0
S451,3
S274,3
S5584,1
S8063,3
S6245,0
S5482,2
S391,1
S9163,3
S5739,3
S3373,4
S8675,3
S5513,0
S1157,4
S7658,5
S2049,5
S4970,1
S4510,1
S7414,1
S6984,3
S7888,3
S8396,1
S3183,5
S614,0
S6508,3
S1040,4
S467,1
S5145,3
S2256,0
S3083,1
S2176,4
S3131,3
S2758,1
S5397,4
S6902,4
S7442,5
S8352,1
S3302,0
S5532,1
S5900,4
S7348,1
S4706,4
S6694,5
S8938,0
S5548,3
S6951,4
S7048,0
S4289,5
S1111,1
S7970,0
S9181,3
S8786,5
S969,1
S7092,1
S1505,5
S174,3
S9291,1
S4923,3
S3363,1
S1129,1
S5946,1
S7760,1
S8557,5
S6525,4
S7226,0
S1202,4
S3867,3
S7720,0
S5260,4
S4372,1
S3807,5
S3941,4
S1356,1
S4248,0
S2165,5
S659,3
S871,5
S28,1
S6497,1
S5258,3
S1684,3
S332,4
S1001,4
S7694,1
S4985,0
S293,0
S8429,0
S1622,4
S1059,4
S6272,4
S5940,5
S1837,4
S2338,5
S1251,0
S7727,3
S4318,1
S2158,1
S7117,5
S752,4
S6415,0
S5468,3
S4522,5
S5552,3
S3672,1
S1810,4
S3090,4
S2553,5
S4745,5
S7651,0
S7981,0
S8490,1
S6217,0
S7644,1
S4465,3
S5535,5
S2959,5
S363,0
S2485,4
S4320,0
S437,5
S3361,1
S9238,4
S2002,0
S577,1
S5130,3
S2157,4
S2655,0
S7339,3
S8605,4
S9232,3
S5583,0
S7558,0
S1666,3
S8902,4
S6279,4
S8285,0
S558,1
S6196,5
S2603,5
S1858,1
S2345,4
S4397,3
S3789,0
S2872,3
S3340,3
S2951,0
S3062,1
S3231,1
S816,5
S701,3
S957,3
S5540,3
S651,0
S1377,3
S8727,1
S8871,1
S6112,5
S6651,1
S3434,3
S6697,1
S8106,0
S6777,4
S8747,4
S507,3
S579,1
S6969,1
S7285,3
S2760,0
S8993,1
S1791,1
S328,3
S968,1
S7473,0
S717,0
S3297,3
S4408,3
S8093,1
S6070,1
S6730,0
S2639,3
S2055,0
S6521,3
S4358,3
S8763,1
S114,5
S9339,1
S5017,1
S7879,5
S9124,1
S744,5
S4700,1
S7860,5
S8084,3
S5993,3
S216,0
S4773,3
S8698,1
S7444,4
S8135,0
S6482,1
S3003,1
S2494,1
S9312,4
S9011,4
S8509,5
S1008,0
S2239,0
S4179,4
S5008,4
S8599,4
S1147,5
S9367,1
S3959,2
S7072,4
S3987,0
S4822,0
S2881,0
S3222,3
S3395,3
S7885,4
S3525,3
S523,1
S5487,1
S4984,5
S441,4
S8185,3
S7220,4
S6722,1
S2963,0
S8885,1
S3386,5
S7863,0
S2366,3
S3744,5
S3847,1
S589,2
S7952,2
S7492,3
S9270,3
S8452,3
S3499,1
S8868,1
S3895,1
S5157,5
S5164,1
S1591,0
S6084,0
S537,5
S6430,3
S5812,3
S4043,1
S4190,4
S7728,5
S8536,0
S6676,0
S1948,1
S8803,0
S2970,5
S4804,4
S4275,3
S2330,3
S460,3
S3422,1
S5442,0
S6683,1
S784,1
S6464,5
S7682,5
S2166,0
S2629,3
S3008,3
S971,5
S5851,4
S4885,5
S8730,3
S7991,1
S6049,4
S4042,3
S8190,3
S6389,1
S8552,0
S224,0
S557,0
S4974,3
S7363,0
S8914,3
S4917,5
S958,4
S4701,0
S7134,3
S2319,5
S7294,1
S8589,0
S4402,1
S7269,0
S6325,1
S4633,1
S2069,0
S314,1
S4152,5
S2493,0
S446,1
S4790,3
S82,0
S3254,4
S7729,1
S2213,1
S3238,3
S9282,1
S2012,5
S8275,3
S7057,0
S3812,4
S3520,2
S3781,0
S3180,1
S1469,1
S6047,1
S2513,0
S3559,4
S9077,4
S1414,3
S3936,1
S501,3
S5881,0
S4670,0
S2125,0
S3818,3
S201,0
S1765,0
S641,1
S3495,0
S7555,5
S4262,1
S2114,0
S3223,3
S3121,0
S6186,5
S4708,5
S1423,0
S1141,1
S6785,5
S5632,5
S5912,3
S5010,3
S8316,1
S4877,0
S688,1
S7292,5
S2547,1
S4906,1
S508,5
S6747,3
S8646,1
S4208,1
S7081,3
S8655,5
S3578,5
S7478,0
S2374,1
S7150,0
S9040,3
S3633,3
S1912,4
S4973,4
S8448,4
S427,1
S1287,1
S1121,3
S2074,5
S5057,4
S899,1
S2831,4
S7959,0
S6206,3
S2819,4
S9152,0
S5065,3
S1841,4
S8380,5
S7475,1
S1031,1
S1011,0
S8776,4
S3927,1
S8225,0
S5193,0
S7083,4
S6165,5
S4580,1
S9313,5
S8713,5
S6294,0
S2006,4
S2433,4
S2019,4
S5074,3
S3439,1
S8140,3
S7067,1
S2537,0
S4028,3
S2368,1
S8160,1
S2662,4
S960,4
S2219,1
S4334,1
S5769,0
S8658,1
S2667,1
S462,5
S2064,4
S2470,1
S2358,1
S4784,1
S422,0
S5375,1
S5734,4
S3837,0
S3972,4
S606,1
S4490,1
S7303,0
S8651,1
S1294,1
S5954,5
S4481,1
S290,0
S8957,3
S8883,0
S5042,4
S9120,1
S7440,1
S3510,3
S7783,5
S5092,4
S7412,1
S8088,0
S1977,0
S1258,1
S5978,1
S6933,3
S5347,4
S2032,4
S8293,4
S1128,1
S1744,4
S4479,5
S7044,3
S1878,3
S6453,4
S177,0
S6717,4
S9095,3
S2362,3
S454,3
S4887,0
S5687,4
S7713,3
S9125,0
S3035,1
S1081,0
S1447,0
S1958,0
S5438,4
S4814,3
S7318,5
S690,3
S4645,4
S3626,3
S7792,5
S361,3
S3508,0
S1576,1
S3875,1
S8506,1
S2044,4
S268,0
S1578,0
S979,0
S3889,0
S2489,0
S5148,0
S8085,5
S5473,0
S8900,4
S4682,0
S1806,3
S6569,0
S5282,3
S1784,0
S8354,3
S4451,3
S4851,0
S3320,5
S2896,4
S2270,5
S7114,1
S8603,3
S378,3
S9117,0
S6157,1
S8979,5
S9058,4
S7584,0
S7050,0
S7093,0
S600,3
S9428,0
S738,0
S3529,5
S7911,1
S6308,3
S199,0
S5240,1
S5640,0
S4546,3
S6660,0
S9141,0
S3500,1
S4021,1
S7325,1
S3658,1
S9345,1
S1696,0
S964,4
S3368,5
S942,5
S8500,4
S1583,4
S2593,0
S5412,0
S770,0
S2140,5
S4839,5
S4090,3
S7916,1
S7256,5
S1407,3
S8582,2
S8096,0
S3772,4
S8610,5
S7116,1
S1660,2
S955,1
S8901,1
S1755,1
S696,5
S2671,1
S3315,3
S8460,3
S3442,0
S2317,3
S1124,5
S3580,0
S5628,0
S9209,0
S4727,0
S9168,1
S4454,0
S6793,0
S5587,4
S7599,0
S5146,3
S3411,0
S5741,0
S227,0
S7886,1
S3535,5
S591,1
S7897,1
S2430,0
S6074,0
S9386,0
S1680,3
S1070,5
S8765,5
S7712,5
S951,4
S9334,5
S8013,1
S1853,1
S4217,4
S3478,5
S1270,1
S5772,4
S3328,1
S3850,4
S6001,1
S6895,1
S6794,3
S7726,0
S9342,1
S1640,1
S3557,0
S8446,5
S1351,3
S7938,5
S9324,5
S5458,4
S4568,3
S2062,3
S4620,1
S2615,1
S9192,1
S2681,5
S8745,4
S5779,5
S8555,1
S245,4
S7063,0
S8343,0
S8779,3
S8527,4
S6744,1
S1165,5
S6274,0
S5246,1
S7538,3
S818,0
S7724,0
S1237,3
S4897,1
S3660,0
S167,1
S561,5
S7158,4
S2701,5
S5224,5
S2539,1
S2978,4
S6288,4
S4047,0
S5187,0
S3702,1
S3649,0
S1283,0
S3679,0
S6880,5
S718,0
S6040,1
S985,4
S2209,4
S6751,5
S48,4
S6220,3
S2310,3
S4447,0
S2873,0
S4482,5
S6869,4
S3000,3
S2173,5
S9197,3
S8402,5
S3275,1
S8113,0
S4455,0
S5470,1
S3524,3
S1334,3
S630,4
S5775,1
S3343,1
S1150,1
S1400,5
S5392,1
S7206,3
S6197,1
S1254,1
S4679,2
S2889,0
S1989,1
S1739,5
S3188,0
S1886,1
S5073,2
S1871,3
S6411,0
S6559,4
S2175,1
S6813,1
S2052,5
S1814,1
S4070,4
S3558,4
S9193,3
S2728,3
S1876,0
S7565,0
S6239,4
S145,4
S2967,0
S2988,3
S8755,0
S6565,0
S6783,4
S527,5
S8630,4
S5078,0
S2989,4
S6192,1
S8741,0
S5278,4
S2352,0
S3824,1
S96,3
S2809,1
S7545,3
S4824,0
S6958,1
S4752,0
S2226,5
S4327,4
S3937,1
S2063,0
S3321,4
S7853,3
S4614,5
S8049,5
S3163,3
S4613,0
S3484,5
S2647,1
S7788,1
S1210,4
S5338,3
S974,1
S2086,3
S4161,3
S9166,0
S852,0
S5455,4
S6282,4
S3777,0
S5302,4
S4605,1
S2992,1
S8995,5
S9136,4
S5809,4
S1945,1
S1133,1
S5376,0
S1274,4
S2581,1
S3141,4
S1252,3
S6585,1
S2696,1
S6681,5
S836,4
S297,3
S5525,0
S2022,3
S7641,1
S7132,3
S9051,1
S4545,3
S8968,0
S4471,1
S6719,5
S845,1
S8413,5
S5205,1
S4868,0
S4076,4
